TdA_spi1,A_spi2,TdA_prob1,A_prob2,probtie,TdA_proj_score1,A_proj_score2,Min,xG
93.98,70.07,0.6234,0.1706,0.2061,2.13,1.02,90,0.1
92.67,62.75,0.8299,0.053,0.1171,2.88,0.62,90,0.1
92.03,71.25,0.733,0.0893,0.1778,2.2,0.62,90,0.7
92.83,94.66,0.3393,0.422,0.2387,1.51,1.71,90,0.3
92.04,62.3,0.7883,0.0734,0.1383,2.7,0.72,90,0.0
91.92,70.99,0.517,0.2388,0.2442,1.73,1.1,90,1.1
91.39,69.76,0.6691,0.1314,0.1995,2.11,0.81,90,0.9
91.4,78.83,0.4635,0.2926,0.2439,1.7,1.31,82,0.8
91.46,84.95,0.5037,0.2687,0.2277,1.93,1.36,78,0.6
91.07,62.56,0.5612,0.2208,0.218,2.05,1.22,27,0.3
92.75,82.06,0.4347,0.3273,0.238,1.64,1.39,90,0.2
92.28,83.27,0.6454,0.1703,0.1843,2.36,1.14,89,1.1
92.88,60.56,0.736,0.0942,0.1698,2.25,0.66,90,0.7
93.06,56.9,0.911,0.0133,0.0757,2.88,0.2,90,0.4
92.61,79.69,0.7091,0.1114,0.1795,2.2,0.74,90,0.2
92.36,81.39,0.4665,0.3203,0.2132,2.0,1.64,90,1.7
94.16,83.99,0.5013,0.2319,0.2668,1.44,0.88,71,0.3
92.06,83.81,0.6796,0.1075,0.213,1.81,0.56,120,0.4
